Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime
2004-11-03,13.00.00,,1286.0,63.0,,869.0,146.0,1162.0,112.0,1537.0,799.0,,,,2004-11-03 13:00:00
2004-11-03,14.00.00,,1371.0,164.0,,1034.0,207.0,983.0,128.0,1730.0,1037.0,,,,2004-11-03 14:00:00
2004-11-03,15.00.00,,1310.0,79.0,,933.0,184.0,1082.0,126.0,1647.0,946.0,,,,2004-11-03 15:00:00
2004-11-03,16.00.00,,1292.0,95.0,,912.0,193.0,1103.0,131.0,1591.0,957.0,,,,2004-11-03 16:00:00
2004-11-03,17.00.00,,1383.0,150.0,,1020.0,243.0,1008.0,135.0,1719.0,1104.0,,,,2004-11-03 17:00:00
2004-11-03,18.00.00,,1581.0,307.0,,1319.0,281.0,799.0,151.0,2083.0,1409.0,,,,2004-11-03 18:00:00
2004-11-03,19.00.00,,1776.0,461.0,,1488.0,383.0,702.0,172.0,2333.0,1704.0,,,,2004-11-03 19:00:00
2004-11-03,20.00.00,,1640.0,401.0,,1404.0,351.0,743.0,165.0,2191.0,1654.0,,,,2004-11-03 20:00:00
2004-11-03,21.00.00,,1313.0,197.0,,1076.0,240.0,957.0,136.0,1707.0,1285.0,,,,2004-11-03 21:00:00
2004-11-03,22.00.00,,965.0,61.0,,749.0,94.0,1325.0,85.0,1333.0,821.0,,,,2004-11-03 22:00:00
2004-11-03,23.00.00,1.0,913.0,26.0,,629.0,47.0,1565.0,53.0,1252.0,552.0,,,,2004-11-03 23:00:00
2004-12-03,00.00.00,,1080.0,55.0,,805.0,122.0,1254.0,97.0,1375.0,816.0,,,,2004-12-03 00:00:00
2004-12-03,01.00.00,,1044.0,53.0,,829.0,133.0,1247.0,110.0,1378.0,832.0,,,,2004-12-03 01:00:00
2004-12-03,02.00.00,,988.0,40.0,,718.0,82.0,1396.0,91.0,1304.0,692.0,,,,2004-12-03 02:00:00
2004-12-03,03.00.00,,889.0,21.0,,574.0,-200.0,1680.0,-200.0,1187.0,512.0,,,,2004-12-03 03:00:00
2004-12-03,04.00.00,-200.0,831.0,10.0,,506.0,21.0,1893.0,32.0,1134.0,384.0,,,,2004-12-03 04:00:00
2004-12-03,05.00.00,,847.0,7.0,,501.0,30.0,1895.0,44.0,1155.0,394.0,,,,2004-12-03 05:00:00
2004-12-03,06.00.00,,927.0,17.0,,571.0,56.0,1685.0,71.0,1223.0,487.0,,,,2004-12-03 06:00:00
2004-12-03,07.00.00,,1091.0,33.0,,730.0,109.0,1387.0,104.0,1361.0,748.0,,,,2004-12-03 07:00:00
2004-12-03,08.00.00,,1587.0,202.0,,1236.0,307.0,897.0,141.0,1900.0,1400.0,,,,2004-12-03 08:00:00
2004-12-03,09.00.00,-200.0,1545.0,-200.0,,1353.0,-200.0,767.0,-200.0,2058.0,1588.0,,,,2004-12-03 09:00:00
2004-12-03,10.00.00,,1350.0,208.0,,1118.0,187.0,912.0,122.0,1712.0,1237.0,,,,2004-12-03 10:00:00
2004-12-03,11.00.00,,1263.0,166.0,,1037.0,216.0,969.0,143.0,1598.0,1167.0,,,,2004-12-03 11:00:00
2004-12-03,12.00.00,,1206.0,114.0,,986.0,143.0,1035.0,113.0,1537.0,959.0,,,,2004-12-03 12:00:00
2004-12-03,13.00.00,,1252.0,140.0,,1016.0,160.0,1008.0,116.0,1593.0,983.0,,,,2004-12-03 13:00:00
2004-12-03,14.00.00,,1287.0,169.0,,1078.0,163.0,949.0,123.0,1660.0,1061.0,,,,2004-12-03 14:00:00
2004-12-03,15.00.00,,1353.0,185.0,,1122.0,190.0,922.0,126.0,1740.0,1139.0,,,,2004-12-03 15:00:00
2004-12-03,16.00.00,,1309.0,165.0,,1073.0,178.0,954.0,120.0,1657.0,1112.0,,,,2004-12-03 16:00:00
2004-12-03,17.00.00,,1274.0,133.0,,1041.0,150.0,1006.0,119.0,1610.0,994.0,,,,2004-12-03 17:00:00
2004-12-03,18.00.00,,1510.0,233.0,,1277.0,206.0,812.0,149.0,1910.0,1410.0,,,,2004-12-03 18:00:00
2004-12-03,19.00.00,,1525.0,242.0,,1246.0,202.0,821.0,145.0,1847.0,1448.0,,,,2004-12-03 19:00:00
2004-12-03,20.00.00,,1843.0,488.0,,1610.0,340.0,624.0,170.0,2390.0,1887.0,,,,2004-12-03 20:00:00
2004-12-03,21.00.00,,1598.0,333.0,,1299.0,274.0,752.0,149.0,1941.0,1627.0,,,,2004-12-03 21:00:00
2004-12-03,22.00.00,,1484.0,215.0,,1127.0,253.0,839.0,139.0,1723.0,1491.0,,,,2004-12-03 22:00:00
2004-12-03,23.00.00,,1677.0,367.0,,1346.0,300.0,741.0,134.0,2062.0,1657.0,,,,2004-12-03 23:00:00
,00.00.00,,1280.0,122.0,,964.0,193.0,963.0,113.0,1544.0,1285.0,,,,
,01.00.00,,1196.0,67.0,,873.0,139.0,1071.0,97.0,1463.0,1144.0,,,,
,02.00.00,,1184.0,43.0,,782.0,83.0,1176.0,82.0,1365.0,1043.0,,,,
,03.00.00,,1172.0,46.0,,783.0,-200.0,1179.0,-200.0,1380.0,996.0,,,,
,04.00.00,-200.0,1147.0,56.0,,821.0,109.0,1132.0,83.0,1412.0,992.0,,,,
,05.00.00,1.0,978.0,30.0,,625.0,62.0,1420.0,65.0,1274.0,819.0,,,,
,06.00.00,,1100.0,27.0,,646.0,53.0,1406.0,60.0,1268.0,835.0,,,,
,07.00.00,,1112.0,47.0,,770.0,139.0,1228.0,77.0,1409.0,940.0,,,,
,08.00.00,,1336.0,132.0,,1043.0,256.0,935.0,96.0,1678.0,1192.0,,,,
,09.00.00,,1408.0,239.0,,1153.0,295.0,830.0,119.0,1777.0,1411.0,,,,
,10.00.00,,1447.0,160.0,,1081.0,250.0,869.0,126.0,1667.0,1465.0,,,,
,11.00.00,,1542.0,283.0,,1184.0,296.0,808.0,158.0,1780.0,1583.0,,,,
,12.00.00,,1451.0,210.0,,1117.0,239.0,875.0,161.0,1679.0,1387.0,,,,
,13.00.00,,1328.0,154.0,,1059.0,153.0,987.0,124.0,1600.0,1101.0,,,,
,14.00.00,2.0,1207.0,112.0,,924.0,118.0,1088.0,102.0,1488.0,850.0,,,,
,15.00.00,2.0,1240.0,108.0,,947.0,119.0,1049.0,116.0,1532.0,947.0,,,,
,16.00.00,,1306.0,111.0,,987.0,138.0,1004.0,124.0,1554.0,1078.0,,,,
,17.00.00,,1326.0,97.0,,1000.0,148.0,976.0,125.0,1602.0,1084.0,,,,
,18.00.00,,1473.0,191.0,,1163.0,227.0,831.0,148.0,1779.0,1395.0,,,,
,19.00.00,,1609.0,258.0,,1286.0,277.0,758.0,165.0,1922.0,1612.0,,,,
,20.00.00,,1611.0,284.0,,1274.0,279.0,754.0,161.0,1915.0,1697.0,,,,
,21.00.00,,1621.0,269.0,,1247.0,283.0,762.0,159.0,1860.0,1886.0,,,,
,22.00.00,,1444.0,180.0,,1089.0,214.0,844.0,143.0,1748.0,1624.0,,,,
,23.00.00,,1418.0,116.0,,1010.0,172.0,892.0,130.0,1603.0,1536.0,,,,
,00.00.00,,1534.0,93.0,,1013.0,190.0,889.0,129.0,1611.0,1535.0,,,,
,01.00.00,,1484.0,131.0,,1045.0,174.0,880.0,119.0,1624.0,1530.0,,,,
,02.00.00,,1367.0,92.0,,925.0,128.0,953.0,104.0,1543.0,1337.0,,,,
,03.00.00,,1344.0,132.0,,968.0,-200.0,921.0,-200.0,1620.0,1278.0,,,,
,04.00.00,-200.0,1130.0,56.0,,773.0,70.0,1130.0,82.0,1452.0,1051.0,,,,
,05.00.00,,1062.0,32.0,,691.0,53.0,1272.0,70.0,1377.0,929.0,,,,
,06.00.00,1.0,1076.0,29.0,,618.0,44.0,1395.0,63.0,1333.0,872.0,,,,
,07.00.00,,1028.0,27.0,,615.0,74.0,1384.0,67.0,1340.0,853.0,,,,
,08.00.00,,1155.0,36.0,,722.0,101.0,1225.0,84.0,1414.0,959.0,,,,
,09.00.00,,1235.0,57.0,,828.0,118.0,1055.0,83.0,1527.0,1093.0,,,,
,10.00.00,,1332.0,129.0,,923.0,144.0,952.0,98.0,1614.0,1225.0,,,,
,11.00.00,,1445.0,148.0,,1009.0,176.0,878.0,114.0,1696.0,1355.0,,,,
,12.00.00,,1416.0,145.0,,1002.0,161.0,907.0,119.0,1677.0,1262.0,,,,
,13.00.00,2.0,1281.0,93.0,,880.0,113.0,1084.0,104.0,1525.0,980.0,,,,
,14.00.00,,1207.0,84.0,,879.0,103.0,1104.0,102.0,1490.0,872.0,,,,
,15.00.00,,1258.0,99.0,,906.0,112.0,1081.0,107.0,1511.0,900.0,,,,
,16.00.00,3.0,1458.0,150.0,,1045.0,170.0,974.0,129.0,1646.0,1099.0,,,,
,17.00.00,,1438.0,156.0,,1051.0,180.0,943.0,128.0,1668.0,1206.0,,,,
,18.00.00,,1478.0,122.0,,1055.0,160.0,929.0,121.0,1671.0,1262.0,,,,
,19.00.00,,1808.0,262.0,,1312.0,261.0,753.0,157.0,1993.0,1698.0,,,,
,20.00.00,,1898.0,341.0,,1381.0,325.0,681.0,173.0,2103.0,1905.0,,,,
,21.00.00,,1560.0,214.0,,1140.0,217.0,784.0,146.0,1818.0,1648.0,,,,
,22.00.00,,1324.0,100.0,,940.0,146.0,924.0,121.0,1587.0,1423.0,,,,
,23.00.00,,1349.0,79.0,,933.0,152.0,933.0,119.0,1617.0,1349.0,,,,
,00.00.00,,1239.0,66.0,,872.0,104.0,985.0,99.0,1547.0,1250.0,,,,
,01.00.00,,1239.0,73.0,,853.0,106.0,1010.0,93.0,1543.0,1174.0,,,,
,02.00.00,,1224.0,66.0,,855.0,108.0,998.0,88.0,1566.0,1149.0,,,,
,03.00.00,,1078.0,44.0,,734.0,-200.0,1128.0,-200.0,1487.0,1021.0,,,,
,04.00.00,-200.0,1078.0,44.0,,711.0,66.0,1150.0,71.0,1468.0,1013.0,,,,
,05.00.00,1.0,1075.0,39.0,,703.0,88.0,1156.0,74.0,1464.0,1010.0,,,,
,06.00.00,,1157.0,51.0,,830.0,138.0,1030.0,80.0,1584.0,1083.0,,,,
,07.00.00,,1314.0,107.0,,966.0,228.0,897.0,89.0,1710.0,1235.0,,,,
,08.00.00,,1797.0,336.0,,1451.0,360.0,652.0,114.0,2323.0,1680.0,,,,
,09.00.00,,1961.0,618.0,,1701.0,478.0,537.0,149.0,2665.0,2184.0,,,,
,10.00.00,,1771.0,438.0,,1470.0,394.0,622.0,157.0,2262.0,1973.0,,,,
,11.00.00,,1564.0,334.0,,1300.0,319.0,710.0,155.0,2029.0,1798.0,,,,
,12.00.00,,1430.0,221.0,,1120.0,201.0,831.0,134.0,1783.0,1522.0,,,,
,13.00.00,,1417.0,207.0,,1146.0,171.0,830.0,119.0,1831.0,1404.0,,,,
,14.00.00,,1400.0,191.0,,1162.0,159.0,838.0,111.0,1829.0,1263.0,,,,
,15.00.00,,1317.0,185.0,,1053.0,153.0,926.0,104.0,1707.0,1137.0,,,,
,16.00.00,,1318.0,141.0,,1033.0,143.0,950.0,99.0,1675.0,1068.0,,,,
,17.00.00,,1445.0,214.0,,1141.0,156.0,857.0,110.0,1824.0,1252.0,,,,
,18.00.00,,1917.0,471.0,,1601.0,314.0,631.0,162.0,2447.0,1843.0,,,,
,19.00.00,8.0,2040.0,685.0,,1754.0,404.0,542.0,187.0,2679.0,2122.0,,,,
,20.00.00,,1895.0,538.0,,1573.0,320.0,565.0,165.0,2443.0,1992.0,,,,
,21.00.00,,1595.0,319.0,,1294.0,256.0,678.0,145.0,2058.0,1707.0,,,,
,22.00.00,,1439.0,224.0,,1159.0,193.0,764.0,125.0,1856.0,1494.0,,,,
,23.00.00,,1142.0,67.0,,852.0,89.0,1008.0,101.0,1547.0,1164.0,,,,
,00.00.00,,1304.0,155.0,,1019.0,127.0,852.0,103.0,1731.0,1272.0,,,,
,01.00.00,,1074.0,49.0,,784.0,79.0,1098.0,88.0,1483.0,1040.0,,,,
,02.00.00,,968.0,29.0,,640.0,43.0,1320.0,61.0,1386.0,867.0,,,,
,03.00.00,,929.0,25.0,,608.0,-200.0,1376.0,-200.0,1364.0,826.0,,,,
,04.00.00,-200.0,941.0,25.0,,626.0,59.0,1316.0,59.0,1373.0,840.0,,,,
,05.00.00,,937.0,17.0,,585.0,38.0,1412.0,52.0,1348.0,793.0,,,,
,06.00.00,,1017.0,27.0,,681.0,82.0,1246.0,64.0,1418.0,870.0,,,,
,07.00.00,,1171.0,50.0,,770.0,99.0,1162.0,70.0,1467.0,930.0,,,,
,08.00.00,,1541.0,218.0,,1185.0,263.0,770.0,97.0,1889.0,1407.0,,,,
,09.00.00,,1539.0,285.0,,1287.0,229.0,698.0,95.0,2055.0,1507.0,,,,
,10.00.00,,1735.0,437.0,,1431.0,396.0,628.0,150.0,2211.0,1843.0,,,,
,11.00.00,,1571.0,327.0,,1297.0,314.0,730.0,162.0,1973.0,1729.0,,,,
,12.00.00,,1452.0,283.0,,1250.0,217.0,776.0,154.0,1868.0,1583.0,,,,
,13.00.00,4.0,1579.0,366.0,,1359.0,252.0,724.0,161.0,1998.0,1671.0,,,,
,14.00.00,,1466.0,318.0,,1309.0,263.0,773.0,161.0,1897.0,1491.0,,,,
,15.00.00,,1280.0,228.0,,1136.0,180.0,893.0,128.0,1675.0,1240.0,,,,
,16.00.00,,1407.0,201.0,,1197.0,184.0,905.0,129.0,1759.0,1313.0,,,,
,17.00.00,,1389.0,199.0,,1173.0,190.0,898.0,133.0,1739.0,1363.0,,,,
,18.00.00,,1447.0,237.0,,1235.0,184.0,859.0,139.0,1778.0,1296.0,,,,
,19.00.00,,1551.0,261.0,,1271.0,181.0,800.0,137.0,1875.0,1432.0,,,,
,20.00.00,,1474.0,230.0,,1173.0,166.0,854.0,143.0,1776.0,1432.0,,,,
,21.00.00,,1800.0,349.0,,1426.0,317.0,700.0,177.0,2106.0,2034.0,,,,
,22.00.00,,1379.0,183.0,,1101.0,184.0,818.0,138.0,1710.0,1602.0,,,,
,23.00.00,,1201.0,88.0,,943.0,130.0,935.0,117.0,1560.0,1362.0,,,,
,00.00.00,,1205.0,85.0,,925.0,132.0,922.0,107.0,1547.0,1314.0,,,,
,01.00.00,,1072.0,47.0,,784.0,95.0,1066.0,90.0,1442.0,1114.0,,,,
,02.00.00,,998.0,34.0,,714.0,70.0,1169.0,79.0,1383.0,992.0,,,,
,03.00.00,,933.0,26.0,,625.0,-200.0,1292.0,-200.0,1332.0,884.0,,,,
,04.00.00,-200.0,883.0,17.0,,577.0,54.0,1396.0,60.0,1303.0,808.0,,,,
,05.00.00,,869.0,11.0,,554.0,28.0,1460.0,40.0,1268.0,667.0,,,,
,06.00.00,,891.0,18.0,,576.0,46.0,1417.0,53.0,1289.0,733.0,,,,
,07.00.00,,1173.0,84.0,,878.0,160.0,1038.0,84.0,1556.0,1052.0,,,,
,08.00.00,,1587.0,260.0,,1334.0,320.0,702.0,108.0,1999.0,1534.0,,,,
,09.00.00,,1852.0,534.0,,1696.0,377.0,553.0,127.0,2535.0,1931.0,,,,
,10.00.00,,1522.0,368.0,,1331.0,280.0,703.0,134.0,2026.0,1734.0,,,,
,11.00.00,,1438.0,200.0,,1161.0,221.0,819.0,135.0,1782.0,1595.0,,,,
,12.00.00,,1393.0,145.0,,1067.0,210.0,905.0,142.0,1654.0,1490.0,,,,
,13.00.00,,1452.0,188.0,,1152.0,204.0,861.0,153.0,1747.0,1508.0,,,,
,14.00.00,,1389.0,152.0,,1108.0,161.0,887.0,123.0,1712.0,1334.0,,,,
,15.00.00,2.0,1207.0,103.0,,994.0,135.0,1013.0,104.0,1520.0,1045.0,,,,
,16.00.00,,1365.0,193.0,,1154.0,186.0,940.0,129.0,1679.0,1221.0,,,,
,17.00.00,,1247.0,134.0,,1060.0,147.0,1032.0,114.0,1525.0,1069.0,,,,
,18.00.00,5.0,1557.0,386.0,,1478.0,299.0,793.0,158.0,1981.0,1569.0,,,,
,19.00.00,,1973.0,577.0,,1737.0,411.0,617.0,194.0,2414.0,2306.0,,,,
,20.00.00,,1975.0,523.0,,1667.0,347.0,597.0,182.0,2416.0,2359.0,,,,
,21.00.00,,1795.0,472.0,,1485.0,336.0,653.0,180.0,2174.0,2050.0,,,,
,22.00.00,,1444.0,206.0,,1150.0,202.0,770.0,136.0,1727.0,1727.0,,,,
,23.00.00,,1488.0,216.0,,1171.0,178.0,731.0,127.0,1778.0,1705.0,,,,
,00.00.00,,1371.0,159.0,,1083.0,154.0,796.0,116.0,1669.0,1551.0,,,,
,01.00.00,,1161.0,70.0,,904.0,92.0,947.0,107.0,1502.0,1240.0,,,,
,02.00.00,1.0,1064.0,44.0,,787.0,61.0,1057.0,88.0,1407.0,1115.0,,,,
,03.00.00,,970.0,42.0,,687.0,-200.0,1196.0,-200.0,1351.0,969.0,,,,
,04.00.00,-200.0,954.0,28.0,,645.0,60.0,1260.0,78.0,1334.0,925.0,,,,
,05.00.00,,931.0,20.0,,623.0,37.0,1293.0,57.0,1307.0,828.0,,,,
,06.00.00,,938.0,26.0,,650.0,68.0,1251.0,71.0,1333.0,893.0,,,,
,07.00.00,,1166.0,78.0,,885.0,139.0,1005.0,85.0,1551.0,1075.0,,,,
,08.00.00,,1643.0,319.0,,1384.0,339.0,667.0,124.0,2094.0,1610.0,,,,
,09.00.00,,1934.0,506.0,,1682.0,421.0,541.0,151.0,2468.0,2051.0,,,,
,10.00.00,,1617.0,-200.0,,1333.0,349.0,686.0,150.0,2010.0,1819.0,,,,
,11.00.00,,1473.0,-200.0,,1127.0,224.0,831.0,152.0,1752.0,1568.0,,,,
,12.00.00,,1379.0,-200.0,,1068.0,171.0,899.0,139.0,1663.0,1374.0,,,,
,13.00.00,,1385.0,-200.0,,1056.0,149.0,891.0,133.0,1648.0,1268.0,,,,
,14.00.00,,1379.0,-200.0,,1087.0,137.0,901.0,126.0,1660.0,1144.0,,,,
,15.00.00,,1322.0,-200.0,,1129.0,149.0,934.0,128.0,1639.0,1109.0,,,,
,16.00.00,,1496.0,-200.0,,1205.0,172.0,822.0,169.0,1767.0,1347.0,,,,
,17.00.00,,1409.0,-200.0,,1131.0,166.0,873.0,149.0,1689.0,1206.0,,,,
,18.00.00,,1513.0,-200.0,,1338.0,214.0,764.0,156.0,1957.0,1397.0,,,,
,19.00.00,,1667.0,-200.0,,1464.0,280.0,683.0,168.0,2118.0,1588.0,,,,
,20.00.00,,1667.0,-200.0,,1453.0,276.0,684.0,176.0,2051.0,1569.0,,,,
,21.00.00,,1430.0,-200.0,,1121.0,178.0,814.0,135.0,1732.0,1322.0,,,,
,22.00.00,,1333.0,-200.0,,989.0,129.0,885.0,121.0,1621.0,1194.0,,,,
,23.00.00,,1262.0,-200.0,,911.0,95.0,948.0,99.0,1545.0,1062.0,,,,
,00.00.00,2.0,1287.0,-200.0,,936.0,126.0,918.0,106.0,1606.0,1040.0,,,,
,01.00.00,,1134.0,-200.0,,840.0,103.0,1021.0,96.0,1501.0,917.0,,,,
,02.00.00,,999.0,-200.0,,688.0,48.0,1229.0,63.0,1380.0,594.0,,,,
,03.00.00,,961.0,-200.0,,622.0,-200.0,1382.0,-200.0,1301.0,430.0,,,,
,04.00.00,-200.0,934.0,-200.0,,569.0,20.0,1440.0,32.0,1280.0,397.0,,,,
,05.00.00,,913.0,-200.0,,525.0,18.0,1620.0,28.0,1260.0,370.0,,,,
,06.00.00,,969.0,-200.0,,607.0,56.0,1373.0,61.0,1324.0,438.0,,,,
,07.00.00,,1182.0,-200.0,,845.0,115.0,1054.0,99.0,1539.0,704.0,,,,
,08.00.00,,1740.0,-200.0,,1372.0,320.0,671.0,157.0,2144.0,1476.0,,,,
,09.00.00,,1819.0,-200.0,,1582.0,357.0,575.0,166.0,2456.0,1716.0,,,,
,10.00.00,4.0,1427.0,-200.0,,1275.0,253.0,701.0,149.0,1980.0,1398.0,,,,
,11.00.00,,1390.0,-200.0,,1191.0,218.0,759.0,135.0,1879.0,1268.0,,,,
,12.00.00,,1283.0,-200.0,,1117.0,192.0,813.0,127.0,1751.0,1188.0,,,,
,13.00.00,3.0,1304.0,-200.0,,1157.0,176.0,793.0,122.0,1801.0,1171.0,,,,
,14.00.00,,1364.0,-200.0,,1202.0,198.0,771.0,135.0,1875.0,1250.0,,,,
,15.00.00,,1410.0,-200.0,,1268.0,212.0,724.0,139.0,1957.0,1344.0,,,,
,16.00.00,4.0,1476.0,-200.0,,1280.0,249.0,708.0,147.0,1955.0,1378.0,,,,
,17.00.00,,1522.0,-200.0,,1320.0,270.0,690.0,158.0,2005.0,1435.0,,,,
,18.00.00,,1442.0,-200.0,,1301.0,231.0,704.0,146.0,1952.0,1372.0,,,,
,19.00.00,,1469.0,-200.0,,1344.0,251.0,677.0,144.0,1997.0,1471.0,,,,
,20.00.00,,1467.0,-200.0,,1292.0,210.0,698.0,138.0,1942.0,1439.0,,,,
,21.00.00,4.0,1421.0,-200.0,,1202.0,249.0,748.0,143.0,1854.0,1429.0,,,,
,22.00.00,,1175.0,-200.0,,945.0,143.0,904.0,116.0,1604.0,1081.0,,,,
,23.00.00,,1215.0,-200.0,,912.0,127.0,948.0,109.0,1547.0,993.0,,,,
,00.00.00,,1127.0,-200.0,,802.0,104.0,1064.0,92.0,1447.0,837.0,,,,
,01.00.00,,1090.0,-200.0,,773.0,86.0,1105.0,83.0,1429.0,761.0,,,,
,02.00.00,,1017.0,-200.0,,718.0,74.0,1182.0,81.0,1382.0,650.0,,,,
,03.00.00,,997.0,-200.0,,677.0,-200.0,1252.0,-200.0,1359.0,591.0,,,,
,04.00.00,-200.0,945.0,-200.0,,646.0,44.0,1308.0,55.0,1332.0,505.0,,,,
,05.00.00,,956.0,-200.0,,661.0,42.0,1260.0,53.0,1351.0,518.0,,,,
,06.00.00,,966.0,-200.0,,622.0,63.0,1317.0,67.0,1342.0,571.0,,,,
,07.00.00,,1064.0,-200.0,,728.0,115.0,1161.0,91.0,1461.0,842.0,,,,
,08.00.00,,1300.0,-200.0,,935.0,170.0,902.0,113.0,1623.0,1145.0,,,,
,09.00.00,,1348.0,-200.0,,998.0,147.0,834.0,102.0,1689.0,1218.0,,,,
,10.00.00,,1425.0,-200.0,,1068.0,166.0,776.0,107.0,1764.0,1341.0,,,,
,11.00.00,,1474.0,-200.0,,1061.0,195.0,768.0,113.0,1768.0,1406.0,,,,
,12.00.00,,1490.0,-200.0,,1039.0,182.0,782.0,108.0,1757.0,1422.0,,,,
,13.00.00,,1495.0,-200.0,,1040.0,168.0,809.0,105.0,1735.0,1373.0,,,,
,14.00.00,,1376.0,-200.0,,953.0,125.0,900.0,93.0,1636.0,1153.0,,,,
,15.00.00,,1305.0,-200.0,,884.0,95.0,980.0,87.0,1573.0,927.0,,,,
,16.00.00,,1283.0,-200.0,,844.0,79.0,1036.0,76.0,1539.0,766.0,,,,
,17.00.00,,1392.0,-200.0,,967.0,119.0,930.0,94.0,1649.0,941.0,,,,
,18.00.00,,1452.0,-200.0,,1063.0,142.0,856.0,110.0,1774.0,1146.0,,,,
,19.00.00,,1633.0,-200.0,,1199.0,215.0,734.0,136.0,1919.0,1417.0,,,,
,20.00.00,,1625.0,-200.0,,1191.0,229.0,733.0,139.0,1885.0,1442.0,,,,
,21.00.00,,1535.0,-200.0,,1108.0,206.0,785.0,125.0,1820.0,1323.0,,,,
,22.00.00,,1323.0,-200.0,,973.0,147.0,864.0,111.0,1712.0,1125.0,,,,
,23.00.00,,1309.0,-200.0,,937.0,122.0,905.0,97.0,1672.0,1036.0,,,,
,00.00.00,,1456.0,-200.0,,999.0,175.0,835.0,107.0,1714.0,1202.0,,,,
,01.00.00,,1300.0,-200.0,,872.0,133.0,941.0,90.0,1577.0,1054.0,,,,
,02.00.00,,1203.0,-200.0,,823.0,89.0,1004.0,84.0,1526.0,903.0,,,,
,03.00.00,,1195.0,-200.0,,836.0,-200.0,987.0,-200.0,1554.0,885.0,,,,
,04.00.00,-200.0,1117.0,-200.0,,802.0,85.0,1029.0,87.0,1539.0,818.0,,,,
,05.00.00,,1062.0,-200.0,,711.0,55.0,1136.0,66.0,1461.0,700.0,,,,
,06.00.00,,947.0,-200.0,,594.0,24.0,1300.0,36.0,1390.0,580.0,,,,
,07.00.00,,1065.0,-200.0,,687.0,72.0,1143.0,62.0,1492.0,815.0,,,,
,08.00.00,,1155.0,-200.0,,734.0,122.0,1062.0,91.0,1528.0,1035.0,,,,
,09.00.00,,1220.0,-200.0,,782.0,111.0,996.0,89.0,1560.0,1067.0,,,,
,10.00.00,,1301.0,-200.0,,862.0,123.0,914.0,93.0,1633.0,1114.0,,,,
,11.00.00,,1279.0,-200.0,,870.0,106.0,911.0,81.0,1646.0,1000.0,,,,
,12.00.00,,1267.0,-200.0,,883.0,103.0,953.0,82.0,1617.0,906.0,,,,
,13.00.00,,1239.0,-200.0,,848.0,102.0,981.0,80.0,1568.0,822.0,,,,
